Time_of_day,start1,end1,start2,end2,start3,end3,obs,hour_cover
12to16,12,16,,,,,1,4
13to14.5,13,14.5,,,,,1,1.5
20to4,20,28,,,,,1,8
8.5to13,8.5,13,,,,,1,4.5
8.5to18.5,8.5,18.5,,,,,1,10
8to14,8,14,,,,,1,6
8to9.5,8,9.5,,,,,1,1.5
9.5to22,9.5,22,,,,,1,12.5
11to20,11,20,,,,,2,9
3to17,3,17,,,,,2,14
6to11,6,11,,,,,2,5
7to9,7,9,,,,,2,2
8.5to12.5,8.5,12.5,,,,,2,4
8to9,8,9,,,,,2,1
"9to11,13to15",9,11,13,15,,,2,4
9to18.5,9,18.5,,,,,2,9.5
"4to8,16to20",4,8,16,20,,,3,8
8.5to16.5,8.5,16.5,,,,,3,8
9to16.5,9,16.5,,,,,3,7.5
10to17,10,17,,,,,4,7
7to10,7,10,,,,,4,3
7to20,7,20,,,,,4,13
"7to8.5,16to17.5",7,8.5,16,17.5,,,4,3
8.5to10.5,8.5,10.5,,,,,4,2
8.5to12,8.5,12,,,,,4,3.5
9to15,9,15,,,,,4,6
9to18,9,18,,,,,4,9
12to18,12,18,,,,,5,6
13.5to17,13.5,17,,,,,5,3.5
10to12.5,10,12.5,,,,,6,2.5
11to18,11,18,,,,,6,7
13to17,13,17,,,,,6,4
6to24,6,24,,,,,6,18
6to8,6,8,,,,,6,2
7to11,7,11,,,,,6,4
7to13,7,13,,,,,6,6
7to14,7,14,,,,,6,7
9to10.5,9,10.5,,,,,6,1.5
"9to11, 15to17",9,11,15,17,,,6,4
10to19,10,19,,,,,7,9
7to19,7,19,,,,,7,12
8.5to17,8.5,17,,,,,7,8.5
9.5to12.5,9.5,12.5,,,,,7,3
0to20,0,20,,,,,8,20
13to15,13,15,,,,,8,2
7.33to18.33,7.33,18.33,,,,,8,11
8.5to17.5,8.5,17.5,,,,,8,9
"9to10, 14to15, 20to21",9,10,14,15,20,21,8,3
10.5to14.5,10.5,14.5,,,,,9,4
8to13,8,13,,,,,9,5
9to11.5,9,11.5,,,,,9,2.5
13to18,13,18,,,,,10,5
7to18,7,18,,,,,10,11
10to11,10,11,,,,,11,1
10to18,10,18,,,,,12,8
11to13,11,13,,,,,12,2
12.5to13.5,12.5,13.5,,,,,12,1
7to12,7,12,,,,,12,5
9.5to11.5,9.5,11.5,,,,,16,2
11to15,11,15,,,,,17,4
12to14,12,14,,,,,17,2
11to14,11,14,,,,,18,3
6to20,6,20,,,,,18,14
9to13,9,13,,,,,19,4
8.5to11.5,8.5,11.5,,,,,20,3
6to18,6,18,,,,,21,12
8to16,8,16,,,,,22,8
9.5to15,9.5,15,,,,,26,5.5
9to14,9,14,,,,,26,5
10to12,10,12,,,,,27,2
12to15,12,15,,,,,27,3
9to17,9,17,,,,,28,8
10to14,10,14,,,,,29,4
10to15,10,15,,,,,30,5
10to13,10,13,,,,,31,3
11to16,11,16,,,,,33,5
8to10,8,10,,,,,33,2
8to18,8,18,,,,,33,10
8to11,8,11,,,,,53,3
8to20,8,20,,,,,56,12
9to10,9,10,,,,,63,1
8to12,8,12,,,,,65,4
10to16,10,16,,,,,76,6
9to16,9,16,,,,,86,7
9to12,9,12,,,,,141,3
9to11,9,11,,,,,282,2
0to24,0,24,,,,,326,24